symptom,age_group,prompt_template,follow_up_questions,diagnosis_list,treatment_otc,treatment_prescription,treatment_home_remedies,treatment_precautions
limping,adolescent,Analyze the condition of a adolescent child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
abdominal pain,toddler,Analyze the condition of a toddler child experiencing abdominal pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the abdominal pain start?', 'Has the child experienced this abdominal pain before?', 'Are there any other symptoms with the abdominal pain?']","['Possible diagnosis 1 for abdominal pain', 'Possible diagnosis 2 for abdominal pain']",['abdominal pain-relief medication (OTC)'],['Prescription treatment for abdominal pain'],"['Home care for abdominal pain (hydration, rest)']","['Monitor severity of abdominal pain, seek help if worsens']"
ear pain,preschool,Analyze the condition of a preschool child experiencing ear pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the ear pain start?', 'Has the child experienced this ear pain before?', 'Are there any other symptoms with the ear pain?']","['Possible diagnosis 1 for ear pain', 'Possible diagnosis 2 for ear pain']",['ear pain-relief medication (OTC)'],['Prescription treatment for ear pain'],"['Home care for ear pain (hydration, rest)']","['Monitor severity of ear pain, seek help if worsens']"
frequent urination,preschool,Analyze the condition of a preschool child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
sore throat,infant,Analyze the condition of a infant child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
cough,infant,Analyze the condition of a infant child experiencing cough. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the cough start?', 'Has the child experienced this cough before?', 'Are there any other symptoms with the cough?']","['Possible diagnosis 1 for cough', 'Possible diagnosis 2 for cough']",['cough-relief medication (OTC)'],['Prescription treatment for cough'],"['Home care for cough (hydration, rest)']","['Monitor severity of cough, seek help if worsens']"
diarrhea,toddler,Analyze the condition of a toddler child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
rash,infant,Analyze the condition of a infant child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
cough,infant,Analyze the condition of a infant child experiencing cough. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the cough start?', 'Has the child experienced this cough before?', 'Are there any other symptoms with the cough?']","['Possible diagnosis 1 for cough', 'Possible diagnosis 2 for cough']",['cough-relief medication (OTC)'],['Prescription treatment for cough'],"['Home care for cough (hydration, rest)']","['Monitor severity of cough, seek help if worsens']"
vomiting,school-age,Analyze the condition of a school-age child experiencing vomiting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the vomiting start?', 'Has the child experienced this vomiting before?', 'Are there any other symptoms with the vomiting?']","['Possible diagnosis 1 for vomiting', 'Possible diagnosis 2 for vomiting']",['vomiting-relief medication (OTC)'],['Prescription treatment for vomiting'],"['Home care for vomiting (hydration, rest)']","['Monitor severity of vomiting, seek help if worsens']"
difficulty breathing,toddler,Analyze the condition of a toddler child experiencing difficulty breathing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the difficulty breathing start?', 'Has the child experienced this difficulty breathing before?', 'Are there any other symptoms with the difficulty breathing?']","['Possible diagnosis 1 for difficulty breathing', 'Possible diagnosis 2 for difficulty breathing']",['difficulty breathing-relief medication (OTC)'],['Prescription treatment for difficulty breathing'],"['Home care for difficulty breathing (hydration, rest)']","['Monitor severity of difficulty breathing, seek help if worsens']"
wheezing,school-age,Analyze the condition of a school-age child experiencing wheezing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the wheezing start?', 'Has the child experienced this wheezing before?', 'Are there any other symptoms with the wheezing?']","['Possible diagnosis 1 for wheezing', 'Possible diagnosis 2 for wheezing']",['wheezing-relief medication (OTC)'],['Prescription treatment for wheezing'],"['Home care for wheezing (hydration, rest)']","['Monitor severity of wheezing, seek help if worsens']"
limping,infant,Analyze the condition of a infant child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
limping,infant,Analyze the condition of a infant child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
diarrhea,adolescent,Analyze the condition of a adolescent child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
